Time,X(CH1),X(CH2),
Second,Volt,Volt,
1.3101563e+02,4.64000e+00,8.24000e+00,
1.3104492e+02,4.64000e+00,8.24000e+00,
1.3107422e+02,4.64000e+00,8.24000e+00,
1.3110352e+02,4.64000e+00,8.24000e+00,
1.3113281e+02,4.64000e+00,8.24000e+00,
1.3116211e+02,4.68000e+00,8.24000e+00,
1.3119141e+02,4.64000e+00,8.24000e+00,
1.3122070e+02,4.64000e+00,8.24000e+00,
1.3125000e+02,4.64000e+00,8.24000e+00,
1.3127930e+02,4.64000e+00,8.24000e+00,
1.3130859e+02,4.68000e+00,8.24000e+00,
1.3133789e+02,4.68000e+00,8.24000e+00,
1.3136719e+02,4.68000e+00,8.24000e+00,
1.3139648e+02,4.64000e+00,8.24000e+00,
1.3142578e+02,4.64000e+00,8.24000e+00,
1.3145508e+02,4.64000e+00,8.24000e+00,
1.3148438e+02,4.68000e+00,8.24000e+00,
1.3151367e+02,4.64000e+00,8.24000e+00,
1.3154297e+02,4.64000e+00,8.24000e+00,
1.3157227e+02,4.64000e+00,8.24000e+00,
1.3160156e+02,4.64000e+00,8.24000e+00,
1.3163086e+02,4.64000e+00,8.24000e+00,
1.3166016e+02,4.68000e+00,8.24000e+00,
1.3168945e+02,4.68000e+00,8.24000e+00,
1.3171875e+02,4.68000e+00,8.24000e+00,
1.3174805e+02,4.64000e+00,8.24000e+00,
1.3177734e+02,4.68000e+00,8.24000e+00,
1.3180664e+02,4.64000e+00,8.24000e+00,
1.3183594e+02,4.64000e+00,8.24000e+00,
1.3186523e+02,4.68000e+00,8.24000e+00,
1.3189453e+02,4.64000e+00,8.24000e+00,
1.3192383e+02,4.64000e+00,8.24000e+00,
1.3195313e+02,4.64000e+00,8.24000e+00,
1.3198242e+02,4.68000e+00,8.24000e+00,
1.3201172e+02,4.68000e+00,8.24000e+00,
1.3204102e+02,4.64000e+00,8.24000e+00,
1.3207031e+02,4.68000e+00,8.24000e+00,
1.3209961e+02,4.68000e+00,8.24000e+00,
1.3212891e+02,4.64000e+00,8.24000e+00,
1.3215820e+02,4.68000e+00,8.24000e+00,
1.3218750e+02,4.68000e+00,8.24000e+00,
1.3221680e+02,4.68000e+00,8.24000e+00,
1.3224609e+02,4.64000e+00,8.24000e+00,
1.3227539e+02,4.64000e+00,8.24000e+00,
1.3230469e+02,4.68000e+00,8.24000e+00,
1.3233398e+02,4.64000e+00,8.24000e+00,
1.3236328e+02,4.64000e+00,8.24000e+00,
1.3239258e+02,4.68000e+00,8.24000e+00,
1.3242188e+02,4.68000e+00,8.24000e+00,
1.3245117e+02,4.64000e+00,8.24000e+00,
1.3248047e+02,4.68000e+00,8.24000e+00,
1.3250977e+02,4.68000e+00,8.24000e+00,
1.3253906e+02,4.68000e+00,8.24000e+00,
1.3256836e+02,4.64000e+00,8.24000e+00,
1.3259766e+02,4.68000e+00,8.24000e+00,
1.3262695e+02,4.68000e+00,8.24000e+00,
1.3265625e+02,4.64000e+00,8.24000e+00,
1.3268555e+02,4.68000e+00,8.24000e+00,
1.3271484e+02,4.68000e+00,8.24000e+00,
1.3274414e+02,4.68000e+00,8.24000e+00,
1.3277344e+02,4.68000e+00,8.24000e+00,
1.3280273e+02,4.68000e+00,8.24000e+00,
1.3283203e+02,4.68000e+00,8.24000e+00,
1.3286133e+02,4.68000e+00,8.24000e+00,
1.3289063e+02,4.68000e+00,8.24000e+00,
1.3291992e+02,4.68000e+00,8.24000e+00,
1.3294922e+02,4.68000e+00,8.24000e+00,
1.3297852e+02,4.68000e+00,8.24000e+00,
1.3300781e+02,4.68000e+00,8.24000e+00,
1.3303711e+02,4.72000e+00,8.24000e+00,
1.3306641e+02,4.68000e+00,8.24000e+00,
1.3309570e+02,4.68000e+00,8.24000e+00,
1.3312500e+02,4.68000e+00,8.24000e+00,
1.3315430e+02,4.68000e+00,8.24000e+00,
1.3318359e+02,4.68000e+00,8.24000e+00,
1.3321289e+02,4.68000e+00,8.24000e+00,
1.3324219e+02,4.68000e+00,8.24000e+00,
1.3327148e+02,4.68000e+00,8.24000e+00,
